i,j,k,r,phi
0,19,29,20.9045449604,0.0
0,20,0,21.7944947177,0.0
0,20,1,21.1187120819,0.0
0,20,2,20.4694894905,0.0
0,20,3,19.8494332413,0.0
0,20,4,19.2613602843,0.0
0,20,5,18.7082869339,0.0
0,20,6,18.1934053987,0.0
0,20,7,17.7200451467,0.0
0,20,8,17.2916164658,0.0
0,20,9,16.9115345253,0.0
0,20,10,16.5831239518,0.0
0,20,11,16.3095064303,0.0
0,20,12,16.0934769394,0.0
0,20,13,15.9373774505,0.0
0,20,14,15.8429795178,0.0
0,20,15,15.8113883008,0.0
0,20,16,15.8429795178,0.0
0,20,17,15.9373774505,0.0
0,20,18,16.0934769394,0.0
0,20,19,16.3095064303,0.0
0,20,20,16.5831239518,0.0
0,20,21,16.9115345253,0.0
0,20,22,17.2916164658,0.0
0,20,23,17.7200451467,0.0
0,20,24,18.1934053987,0.0
0,20,25,18.7082869339,0.0
0,20,26,19.2613602843,0.0
0,20,27,19.8494332413,0.0
0,20,28,20.4694894905,0.0
0,20,29,21.1187120819,0.0
0,21,0,22.045407685,0.0
0,21,1,21.3775583264,0.0
0,21,2,20.7364413533,0.0
0,21,3,20.1246117975,0.0
0,21,4,19.5448202857,0.0
0,21,5,19.0,0.0
0,21,6,18.4932420089,0.0
0,21,7,18.0277563773,0.0
0,21,8,17.6068168617,0.0
0,21,9,17.2336879396,0.0
0,21,10,16.9115345253,0.0
0,21,11,16.6433169771,0.0
0,21,12,16.4316767252,0.0
0,21,13,16.2788205961,0.0
0,21,14,16.1864140562,0.0
0,21,15,16.1554944214,0.0
0,21,16,16.1864140562,0.0
0,21,17,16.2788205961,0.0
0,21,18,16.4316767252,0.0
0,21,19,16.6433169771,0.0
0,21,20,16.9115345253,0.0
0,21,21,17.2336879396,0.0
0,21,22,17.6068168617,0.0
0,21,23,18.0277563773,0.0
0,21,24,18.4932420089,0.0
0,21,25,19.0,0.0
0,21,26,19.5448202857,0.0
0,21,27,20.1246117975,0.0
0,21,28,20.7364413533,0.0
0,21,29,21.3775583264,0.0
0,22,0,22.3383079037,0.0
0,22,1,21.6794833887,0.0
0,22,2,21.0475651798,0.0
0,22,3,20.4450483003,0.0
0,22,4,19.8746069144,0.0
0,22,5,19.3390796058,0.0
0,22,6,18.8414436814,0.0
0,22,7,18.3847763109,0.0
0,22,8,17.9722007556,0.0
0,22,9,17.6068168617,0.0
0,22,10,17.2916164658,0.0
0,22,11,17.0293863659,0.0
0,22,12,16.8226038413,0.0
0,22,13,16.6733320005,0.0
0,22,14,16.5831239518,0.0
0,22,15,16.5529453572,0.0
0,22,16,16.5831239518,0.0
0,22,17,16.6733320005,0.0
0,22,18,16.8226038413,0.0
