i,j,r,A_Z,B
35,14,14.8660687473,0.0927831570914,0.0102280151108
35,15,14.1421356237,0.100285403617,0.0108411423392
35,16,13.4536240471,0.107797963482,0.0114892570052
35,17,12.8062484749,0.115234442386,0.0121657555019
35,18,12.2065556157,0.122485440133,0.0128601063203
35,19,11.6619037897,0.129403747443,0.0135574522515
35,20,11.1803398875,0.135814627762,0.0142368282721
35,21,10.7703296143,0.141507212158,0.0148710698249
35,22,10.4403065089,0.146256980019,0.0154262960248
35,23,10.1980390272,0.149832787443,0.015864619766
35,24,10.0498756211,0.152037810526,0.0161484725073
35,25,10.0,0.152729739433,0.0162493748823
35,26,10.0498756211,0.151861422011,0.0161561633812
35,27,10.1980390272,0.149479282518,0.0158799496773
35,28,10.4403065089,0.145724874088,0.0154491820089
35,29,10.7703296143,0.140794311429,0.0149014365573
35,30,11.1803398875,0.134917943315,0.0142746469873
35,31,11.6619037897,0.128319589501,0.0136027840284
35,32,12.2065556157,0.121209276479,0.0129131304231
35,33,12.8062484749,0.113761037989,0.0122268000184
35,34,13.4536240471,0.106121185779,0.0115588134377
35,35,14.1421356237,0.0983984055091,0.0109198875047
35,36,14.8660687473,0.0906781327706,0.0103168201747
35,37,15.6204993518,0.0830168210084,0.00975417324031
35,38,16.4012194669,0.0754562285161,0.00923432757223
35,39,17.2046505341,0.0680182967741,0.00875883584142
35,40,18.0277563773,0.0607172142546,0.00832812817661
35,41,18.8679622641,0.0535542377466,0.00794260320399
35,42,19.7230829233,0.0465272447281,0.00760208302305
35,43,20.591260282,0.0396258231765,0.00730673842303
